Hyperparameter Set,Run,MSE,MRRt,BTL,,
Set 1,1,0.000377695,0.030064965,0.609579337,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}}"
Set 1,2,0.000381357,0.013199478,0.101916071,,
Set 1,3,0.000377924,0.022089819,-0.149042866,,
Set 1,4,0.000377418,0.022610349,0.111629815,,
Set 1,5,0.000379789,0.021635797,0.582416382,,
Average,,0.000378837,0.021920081,0.251299748,,
,,,,,,
Set 2,1,0.000225702,0.054672339,2.520180651,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}}"
Set 2,2,0.000225895,0.051350644,2.194464832,,
Set 2,3,0.000226287,0.051073759,2.596760592,,
Set 2,4,0.000226948,0.039822295,2.455611645,,
Set 2,5,0.000225726,0.034404795,2.525374656,,
Average,,0.000226112,0.046264766,2.458478475,,
,,,,,,
Set 3,1,0.00037855,0.035677679,1.142250017,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}}"
Set 3,2,0.000378575,0.035424654,1.13653011,,
Set 3,3,0.000378552,0.035677679,1.142250017,,
Set 3,4,0.000378578,0.035424654,1.13653011,,
Set 3,5,0.000378563,0.035677679,1.142250017,,
Average,,0.000378564,0.035576469,1.139962054,,
,,,,,,
Set 4,1,0.000228436,0.033908967,2.715246744,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}}"
Set 4,2,0.000228431,0.034580316,2.729325899,,
Set 4,3,0.000228426,0.033909046,2.720614036,,
Set 4,4,0.000228423,0.033910008,2.725871718,,
Set 4,5,0.000228421,0.033909692,2.710084406,,
Average,,0.000228427,0.034043606,2.720228561,,
,,,,,,
Set 5,1,0.000379141,0.025289466,0.674217623,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}}"
Set 5,2,0.000379031,0.026381328,0.688829132,,
Set 5,3,0.000379123,0.025289466,0.674217623,,
Set 5,4,0.00037906,0.025277111,0.678371973,,
Set 5,5,0.000379043,0.02516885,0.578410413,,
Average,,0.00037908,0.025481244,0.658809353,,
,,,,,,
Set 6,1,0.000226997,0.039642917,2.392618269,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}}"
Set 6,2,0.000227,0.039645805,2.477871223,,
Set 6,3,0.000226999,0.039643265,2.410040797,,
Set 6,4,0.000226999,0.039645917,2.486790328,,
Set 6,5,0.000227001,0.039644031,2.435311784,,
Average,,0.000226999,0.039644387,2.44052648,,
,,,,,,
Set 7,1,0.000378526,0.043183551,1.574124099,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.9.json'}"
Set 7,2,0.000378539,0.043093662,1.414186209,,
Set 7,3,0.00037853,0.047208771,1.524736378,,
Set 7,4,0.000378527,0.043099821,1.499219834,,
Set 7,5,0.000378525,0.043014182,1.425185233,,
Average,,0.000378529,0.043919998,1.487490351,,
,,,,,,
Set 8,1,0.000378536,0.040669464,1.466083257,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.925.json'}"
Set 8,2,0.000378555,0.040669464,1.466083257,,
Set 8,3,0.000378585,0.040629788,1.435539861,,
Set 8,4,0.000378524,0.040629083,1.361260655,,
Set 8,5,0.000378549,0.04063096,1.361785869,,
Average,,0.00037855,0.040645752,1.41815058,,
,,,,,,
Set 9,1,0.000379447,0.031823213,0.34731784,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.95.json'}"
Set 9,2,0.000380994,0.028797681,0.501838963,,
Set 9,3,0.000379441,0.03711459,0.661053398,,
Set 9,4,0.000378842,0.032076904,0.286651383,,
Set 9,5,0.000380409,0.027153775,0.073453028,,
Average,,0.000379827,0.031393232,0.374062922,,
,,,,,,
Set 10,1,0.000378611,0.028581067,1.222064859,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.975.json'}"
Set 10,2,0.00038926,0.035232306,0.824061789,,
Set 10,3,0.000387865,0.042367192,0.906434837,,
Set 10,4,0.000378977,0.026244716,0.817960764,,
Set 10,5,0.000387485,0.01177484,-0.043410592,,
Average,,0.00038444,0.028840024,0.745422331,,
,,,,,,
Set 11,1,0.00038092,0.021988737,0.547792656,,"{'data_path': '../data/2013-01-01', 'market_name': 'NASDAQ', 'tickers_fname': 'NASDAQ_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NASDAQ_correlation_graph_0.99.json'}"
Set 11,2,0.0003817,0.021587735,0.387092691,,
Set 11,3,0.000378562,0.021754438,0.43066184,,
Set 11,4,0.000391696,0.016706309,0.113364095,,
Set 11,5,0.000380459,0.025434021,0.453269196,,
Average,,0.000382667,0.021494248,0.386436096,,
